wall_time,scenario,label,event,frame,actor_id,type_id,role_name,spring_scale,damper_scale,apply_count,verify_count,message
1779190802.967334,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),connected,,,,,0.95,0.974679434,,,connected to CARLA
1779190802.984801,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),waiting_for_vehicle,7493,,,,0.95,0.974679434,,,no matching vehicle found
1779190809.235505,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),runtime_error,,,,,0.95,0.974679434,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779190810.236548,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),waiting_for_vehicle,7570,,,,0.95,0.974679434,,,no matching vehicle found
1779190815.623507,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),waiting_for_vehicle,7574,,,,0.95,0.974679434,,,no matching vehicle found
1779190815.997958,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),native_captured,7575,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,0,0,captured native suspension
1779190815.998066,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),static_applied,7575,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,1,0,applied static suspension command
1779190816.005589,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),static_verified,7575,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,1,1,readback matched static command
1779190821.010706,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),runtime_error,,,,,0.95,0.974679434,,,"time-out of 5000ms while waiting for the simulator, make sure the simulator is ready and connected to 127.0.0.1:2000"
1779190836.399900,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),static_verified,7624,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,1,2,readback matched static command
1779190849.389045,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),static_verified,7674,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,1,3,readback matched static command
1779190863.186121,T3_k0.95_csqrt,T3 k=0.95 c=sqrt(0.95),static_verified,7724,1203,vehicle.lincoln.mkz_2020,hero,0.95,0.974679434,1,4,readback matched static command
