scenario,step,frame,elapsed_seconds,x,y,z,vx,vy,vz,speed,ax,ay,az,roll,pitch,yaw,angular_velocity_x,angular_velocity_y,angular_velocity_z
S0_stock,0,22328,350.2202183553891,106.41629028320312,-12.711931228637695,0.48239871859550476,0.0,0.0,-1.470000147819519,1.470000147819519,0.0,0.0,-9.80000114440918,0.0,0.0,-89.6092529296875,0.0,0.0,0.0
S0_stock,1,22329,350.27021835613414,106.41629028320312,-12.711931228637695,0.3941987156867981,0.0,0.0,-1.9600002765655518,1.9600002765655518,0.0,0.0,-9.800003051757812,0.0,0.0,-89.6092529296875,0.0,0.0,0.0
S0_stock,2,22330,350.3202183568792,106.41629028320312,-12.711931228637695,0.28149881958961487,0.0,0.0,-2.450000286102295,2.450000286102295,0.0,0.0,-9.800000190734863,0.0,0.0,-89.6092529296875,0.0,0.0,0.0
S0_stock,3,22331,350.37021835762425,106.41629028320312,-12.711931228637695,0.14429865777492523,0.0,0.0,-2.93999981880188,2.93999981880188,0.0,0.0,-9.7999906539917,0.0,0.0,-89.6092529296875,0.0,0.0,0.0
S0_stock,4,22332,350.4202183583693,106.41629028320312,-12.711931228637695,0.01094127632677555,3.845298834903588e-08,4.405739328916525e-09,-2.099825859069824,2.0998258590698247,7.690597385590081e-07,8.811478835468733e-08,16.803478240966797,0.0,0.0,-89.6092529296875,-1.3050719189777737e-06,4.485481440497097e-06,-3.437105877690527e-10
S0_stock,5,22333,350.47021835911437,106.41629028320312,-12.711931228637695,-0.059329528361558914,7.329881412942996e-08,-3.614082544345365e-08,-1.0177116394042969,1.0177116394043002,6.969165156078816e-07,-8.109312830129056e-07,21.642284393310547,0.0,0.0,-89.6092529296875,1.1443671610322781e-05,-2.5181436285492964e-05,4.161265110269596e-09
S0_stock,6,22334,350.5202183598594,106.41629028320312,-12.711931228637695,-0.08991378545761108,6.726747159291335e-08,4.475617032539958e-08,-0.3880349397659302,0.38803493976593856,-1.2062685073033208e-07,1.6179399153770646e-06,12.593534469604492,0.0,0.0,-89.6092529296875,-1.3471183592628222e-05,-2.099338234984316e-05,-5.766087607383952e-09
S0_stock,7,22335,350.5702183606045,106.41629028320312,-12.711931228637695,-0.09797916561365128,1.1609628103315117e-07,-1.4815924043176665e-09,-0.03903079032897949,0.03903079032915218,9.765761888047564e-07,-9.247552270608139e-07,6.980082988739014,0.0,0.0,-89.6092529296875,1.1290220527371275e-06,-6.332865450531244e-05,1.9221183672479825e-11
S0_stock,8,22336,350.62021836134954,106.41629028320312,-12.711931228637695,-0.09405852854251862,1.2526186310424237e-07,-6.5119842851402154e-09,0.1394035816192627,0.13940358161931912,1.8331164142182388e-07,-1.0060784205734308e-07,3.5686874389648438,0.0,0.0,-89.6092529296875,2.134958776878193e-06,1.699851236480754e-05,-2.391780939969834e-10
S0_stock,9,22337,350.6702183620946,106.41629028320312,-12.711931228637695,-0.08445831388235092,8.37020692756596e-08,-9.429157898921403e-09,0.21704977750778198,0.21704977750779833,-8.31195848149946e-07,-5.834347405198059e-08,1.5529239177703857,0.0,0.0,-89.6092529296875,2.9390848794719204e-06,1.751623858581297e-05,-1.656684012196763e-09
S0_stock,10,22338,350.72021836283966,106.41629028320312,-12.711931228637695,-0.07282661646604538,6.97808673066902e-08,-9.90397897027151e-09,0.23750783503055573,0.2375078350305662,-2.78424039379388e-07,-9.496421427002133e-09,0.40916115045547485,0.0,0.0,-89.6092529296875,3.5983664474770194e-06,-6.18877456872724e-05,-3.2055100240846457e-10
S0_stock,11,22339,350.7702183635847,106.41629028320312,-12.711931228637695,-0.061167068779468536,1.1087317375313432e-07,3.3225418860638456e-08,0.22752878069877625,0.2275287806988057,8.218461289288825e-07,8.625879672763404e-07,-0.1995810866355896,0.0,0.0,-89.6092529296875,-9.853447409113869e-06,-2.0639612557715736e-05,-4.047573831655882e-09
S0_stock,12,22340,350.8202183643298,106.41629028320312,-12.711931228637695,-0.05048728734254837,-2.7624918175206403e-07,-1.5101022654562257e-08,0.2031291127204895,0.2031291127206779,-7.74244745116448e-06,-9.665288871474331e-07,-0.48799335956573486,0.0,0.0,-89.6092529296875,4.405554591357941e-06,-5.2353047067299485e-05,2.267285248436224e-09
S0_stock,13,22341,350.87021836507483,106.41629028320312,-12.711931228637695,-0.041209373623132706,-4.701088940350928e-08,-1.349469513911572e-08,0.17357487976551056,0.17357487976551744,4.5847659748687875e-06,3.2126550308930746e-08,-0.5910846590995789,0.0,0.0,-89.6092529296875,4.4599278226087335e-06,-6.180557829793543e-05,1.0957463825178593e-09
S0_stock,14,22342,350.9202183658199,106.41629028320312,-12.711931228637695,-0.03342563658952713,-2.3305408092255675e-07,-1.7018377818089903e-08,0.14395178854465485,0.1439517885448445,-3.7208637877483852e-06,-7.047365357948365e-08,-0.5924618244171143,0.0,0.0,-89.6092529296875,4.5791807679052e-06,2.2494143195217475e-05,3.962331796003582e-09
