maneuver,maneuver_type,scenario,spring_scale,damper_scale,collisions,mean_speed_tail,mean_abs_roll_tail,mean_abs_pitch_tail,mean_abs_yaw_rate_tail,mean_abs_lateral_acc_tail,peak_abs_roll,peak_abs_pitch,peak_abs_yaw_rate,peak_abs_lateral_acc,rms_roll,rms_pitch,rms_yaw_rate,rms_lateral_acc,final_position_diff,max_position_diff,rms_position_diff,max_speed_diff,rms_speed_diff,max_roll_diff,rms_roll_diff,max_pitch_diff,rms_pitch_diff,max_yaw_rate_diff,rms_yaw_rate_diff,max_lateral_acc_diff,rms_lateral_acc_diff
circle_steer_0.10,circle,S0_stock,,,0,0.5888031418355948,0.005469101736357866,0.0026644303873651484,1.423034382554201,0.11833102293135109,0.039337147027254105,0.18598604202270508,3.185046672821045,0.4273156143031136,0.00784291954314545,0.026256828638440383,1.4361621761905026,0.10727020644736418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.10,circle,S1_identity,1.0,1.0,0,0.5888031418355948,0.005469101736357866,0.0026644303873651484,1.423034382554201,0.11833102293135109,0.039337147027254105,0.18598604202270508,3.185046672821045,0.4273156143031136,0.00784291954314545,0.026256828638440383,1.4361621761905026,0.10727020644736418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.10,circle,S2_k0.95_csqrt,0.95,0.9746794344808963,0,0.5730748653607478,0.0054145222731257,0.002139885017990869,1.3940229983283923,0.11862016810313158,0.0388488732278347,0.18003694713115692,1.7916043996810913,0.4325370219624196,0.00807759091432616,0.026517930558826903,1.3352145707354102,0.11533231200892867,0.11756221321313881,0.11756221321313881,0.05131913565474524,0.06435726800663721,0.020032403066537075,0.003509516827762127,0.001088211746600353,0.016611019149422646,0.004994754320278098,1.8558083772659302,0.6103787773017595,0.19322119498018941,0.053250367580517315
circle_steer_0.10,circle,S3_k1.05_csqrt,1.05,1.02469507659596,0,0.6002998834614517,0.005334707041933702,0.0022196143227819656,1.4397788907472904,0.12132670347772914,0.0375976637005806,0.17309747636318207,1.9230176210403442,0.3725225810809076,0.007713782846882921,0.025165540749373733,1.3832891162407284,0.11666985245564704,0.17161607794179298,0.17276715896171682,0.10551733816083701,0.07195828357283562,0.022692339294888716,0.004425048362463713,0.0013726751567970342,0.01881033997051418,0.004584961135814965,1.672151617705822,0.5710629797722417,0.3028373179476218,0.2073513197166085
circle_steer_0.10,circle,S4_k1.00_c1.10,1.0,1.1,0,0.6406710319331909,0.006432459577738952,0.002075260922048563,1.5454393378817117,0.11620809214624218,0.0377197302877903,0.1741493195295334,2.3077926635742188,0.38365354040978694,0.008549046669182802,0.02624165365978631,1.4877118282086765,0.11417215487312571,0.6495897968751317,0.6495897968751317,0.3672046623774718,0.1274633980182216,0.05784778252588508,0.005584715865552425,0.001801117814974936,0.01975290570408106,0.005589091333376086,1.9074636194854975,0.590665164081643,0.28011705127871256,0.2037880376786086
circle_steer_0.10,circle,S5_k1.05_c1.10,1.05,1.1,0,0.6144501243923186,0.005511356855724723,0.003130328067737327,1.454862735592402,0.01944691375337449,0.03628538176417351,0.16921792924404144,1.9620425701141357,0.3936557058776313,0.0077915631326705755,0.025094764634808725,1.4128245113649067,0.03909492142010399,0.34818986503095767,0.34827274474969466,0.19954282191526718,0.11115424815397135,0.03679508323419838,0.003997802268713713,0.0014197613235803295,0.020169541239738464,0.0058977819491339714,1.8183672577142715,0.5673431324961434,0.20593607535335817,0.09935217517035262
circle_steer_0.20,circle,S0_stock,,,0,0.6036716718088748,0.01109548627685469,0.002237018179025304,2.8514562661831198,0.23440480474071748,0.0748901218175888,0.17948369681835175,3.4171652793884277,0.7707796244045877,0.015764221899637245,0.025956906329220684,2.695492372653545,0.22880050937034732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.20,circle,S1_identity,1.0,1.0,0,0.6036716718088748,0.01109548627685469,0.002237018179025304,2.8514562661831198,0.23440480474071748,0.0748901218175888,0.17948369681835175,3.4171652793884277,0.7707796244045877,0.015764221899637245,0.025956906329220684,2.695492372653545,0.22880050937034732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.20,circle,S2_k0.95_csqrt,0.95,0.9746794344808963,0,0.5942473177094163,0.012512206852149505,0.005140176777506265,2.8004454483206453,0.044525188529464015,0.0750732347369194,0.17701800167560577,4.200645923614502,0.7621370543996433,0.01564474773585642,0.026201605213249962,2.70176413349943,0.08020968091120535,0.39914622599080934,0.5034767802235351,0.3103161212161357,0.11019084406155677,0.056623600710946964,0.00939941219985485,0.0035455580735718104,0.01874886779114604,0.006205719787560511,2.366382122039795,1.2393146345735322,0.41985274234129355,0.22062995217791406
circle_steer_0.20,circle,S3_k1.05_csqrt,1.05,1.02469507659596,0,0.6101000583807912,0.010811438313864458,0.002536692702191291,2.8644521786616397,0.221498391657625,0.0736389309167862,0.17850016057491302,3.476628303527832,0.7715270525850071,0.015479030128910616,0.025472375163179798,2.732087924672074,0.2215273336463281,0.10274831467939902,0.10274831467939902,0.0626162367954984,0.0514989480511614,0.017752026663543686,0.007507322356104851,0.0016527195072969993,0.018755697645246983,0.004085781980060092,0.813631534576416,0.2963231170339956,0.14712377388651537,0.032586490306075674
