scenario,label,spring_scale,damper_scale,final_position_diff,final_speed_diff,final_roll_diff,final_pitch_diff,max_position_diff,max_position_step,rms_position_diff,max_speed_diff,max_speed_step,rms_speed_diff,max_velocity_diff,max_roll_diff,max_roll_step,rms_roll_diff,max_pitch_diff,max_pitch_step,rms_pitch_diff,collisions
S0_stock,S0 stock,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
S1_identity,S1 identity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
S2_k0.95_csqrt,S2 k=0.95 c=sqrt(0.95),0.95,0.9746794344808963,0.024955847838147926,0.0,2.285345317432075e-06,0.003872716799378395,0.025026410125069575,126,0.01748271691079148,0.07039400670089258,28,0.012048467459264236,0.07040443154263896,0.0020855640177614987,27,0.00017705792630415528,0.023666605353355408,33,0.004669591503020328,0
S3_k1.05_csqrt,S3 k=1.05 c=sqrt(1.05),1.05,1.02469507659596,0.04510203967044357,0.0,9.269115776078252e-05,0.01324373483657837,0.05845741546974731,90,0.04117326263386504,0.05473745478314507,26,0.01508038372076856,0.05476059105993626,0.0010784869809867814,27,0.00020083240827541835,0.01324373483657837,133,0.008335847544298473,0
S4_k1.00_c1.10,S4 k=1.00 c=1.10,1.0,1.1,0.21483808923032768,0.0,9.268618100577442e-05,0.026767510920763016,0.2150955705649271,120,0.16329850191520634,0.09877383708953891,5,0.03568724342250383,0.09877383708954753,0.0007810004281054717,26,0.00013881786669108496,0.026767510920763016,133,0.016178969061866423,0
S5_k1.05_c1.10,S5 k=1.05 c=1.10,1.05,1.1,0.20194205987740207,0.0,1.6575215795455733e-06,0.0029301512986421585,0.2019725780194969,123,0.14781610159679104,0.09931886196136619,5,0.032752788694075066,0.09931886196137359,0.00153164141374873,31,0.0002584650909832057,0.017212077975273132,28,0.00303122312154833,0
