maneuver,maneuver_type,scenario,spring_scale,damper_scale,collisions,mean_speed_tail,mean_abs_roll_tail,mean_abs_pitch_tail,mean_abs_yaw_rate_tail,mean_abs_lateral_acc_tail,peak_abs_roll,peak_abs_pitch,peak_abs_yaw_rate,peak_abs_lateral_acc,rms_roll,rms_pitch,rms_yaw_rate,rms_lateral_acc,final_position_diff,max_position_diff,rms_position_diff,max_speed_diff,rms_speed_diff,max_roll_diff,rms_roll_diff,max_pitch_diff,rms_pitch_diff,max_yaw_rate_diff,rms_yaw_rate_diff,max_lateral_acc_diff,rms_lateral_acc_diff
circle_steer_0.10,circle,D0_stock,,,0,0.5888031418355948,0.005469101736357866,0.0026644303873651484,1.423034382554201,0.11833102293135109,0.039337147027254105,0.18598604202270508,3.185046672821045,0.4273156143031136,0.00784291954314545,0.026256828638440383,1.4361621761905026,0.10727020644736418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.10,circle,D1_damper_c0p80,1.0,0.8,0,0.4929859307891601,0.0038331836202325155,0.003958685475971344,1.2107653961731837,0.12436372007983096,0.0843810886144638,0.20125150680541992,1.99760103225708,0.4054950372935125,0.013300801247599659,0.030974010048075328,1.1666109389740031,0.12154983701746168,1.0305706926398055,1.0305706926398055,0.5427684831106669,0.36136681006062343,0.09419986399559652,0.0843810886144638,0.011455573723589421,0.10858634114265442,0.016343028692408872,1.561043620109558,0.5827526085783563,0.29020881463954806,0.21156162458126754
circle_steer_0.10,circle,D2_damper_c0p90,1.0,0.9,0,0.5450641626440957,0.004891615278141286,0.0031855606556256623,1.2996171879080625,0.1036329124013842,0.0388793982565403,0.1779264211654663,2.4274706840515137,0.43859636367106647,0.007703082501951199,0.02609113092141234,1.2635799949650144,0.11512415910828562,0.4999891912001779,0.5025223335563874,0.27466211434617344,0.11073541641235307,0.04817055879379655,0.016357421875,0.002753324190954505,0.021207736805081367,0.005871896994185726,1.939323902130127,0.6140086177514068,0.2855745261830934,0.2015528209270882
circle_steer_0.10,circle,D3_identity_c1p00,1.0,1.0,0,0.5888031418355948,0.005469101736357866,0.0026644303873651484,1.423034382554201,0.11833102293135109,0.039337147027254105,0.18598604202270508,3.185046672821045,0.4273156143031136,0.00784291954314545,0.026256828638440383,1.4361621761905026,0.10727020644736418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.10,circle,D4_damper_c1p10,1.0,1.1,0,0.6406710319331909,0.006432459577738952,0.002075260922048563,1.5454393378817117,0.11620809214624218,0.0377197302877903,0.1741493195295334,2.3077926635742188,0.38365354040978694,0.008549046669182802,0.02624165365978631,1.4877118282086765,0.11417215487312571,0.6495897968751317,0.6495897968751317,0.3672046623774718,0.1274633980182216,0.05784778252588508,0.005584715865552425,0.001801117814974936,0.01975290570408106,0.005589091333376086,1.9074636194854975,0.590665164081643,0.28011705127871256,0.2037880376786086
circle_steer_0.10,circle,D5_damper_c1p20,1.0,1.2,0,0.6997900006565789,0.0077139040804468095,0.002251072610306437,1.6858467723314579,0.11354753692099714,0.0341796837747097,0.16031135618686676,2.157197952270508,0.4171146836555863,0.009545447458212189,0.02564887987214502,1.611574757980981,0.11302354095650731,1.273608273445175,1.273608273445175,0.6889077929800057,0.18996012582457833,0.10861760202588605,0.007385251112282276,0.0026875245546159137,0.029479090124368668,0.007121996413123456,2.032095529139042,0.6752308327074789,0.19846257249920857,0.05257232329959596
circle_steer_0.20,circle,D0_stock,,,0,0.6036716718088748,0.01109548627685469,0.002237018179025304,2.8514562661831198,0.23440480474071748,0.0748901218175888,0.17948369681835175,3.4171652793884277,0.7707796244045877,0.015764221899637245,0.025956906329220684,2.695492372653545,0.22880050937034732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.20,circle,D1_damper_c0p80,1.0,0.8,0,0.5061542101796268,0.007653455840996825,0.002890549023924485,2.389337796431321,0.2362587887505914,0.0852355882525444,0.1669776290655136,2.9922385215759277,0.8968679096705361,0.01731403764564968,0.028578615988208014,2.2654627991040757,0.22866239480585107,1.077507710838017,1.077507710838017,0.5727715889391618,0.3612906950044718,0.09658225068883053,0.0852355882525444,0.011992314900476865,0.10851804167032242,0.015546025860850505,1.4657282829284668,0.6514679791104939,0.5596636686949978,0.43627873479912
circle_steer_0.20,circle,D2_damper_c0p90,1.0,0.9,0,0.5550716302605434,0.009426996752154082,0.0034103001190277818,2.5891794516490054,0.2067180157424857,0.07885739952325821,0.18847906589508057,3.6381044387817383,0.7520319792468122,0.014814719570393703,0.02623486073651402,2.4751133763260036,0.22062890033484567,0.5352361521865666,0.5352361521865666,0.2916913862903454,0.11073541641235418,0.05042418727056361,0.016387939453125,0.0034940789453752645,0.026207434479147196,0.006194492382425604,1.4134119749069214,0.42333397884703544,0.3190964750638756,0.06511400111001651
circle_steer_0.20,circle,D3_identity_c1p00,1.0,1.0,0,0.6036716718088748,0.01109548627685469,0.002237018179025304,2.8514562661831198,0.23440480474071748,0.0748901218175888,0.17948369681835175,3.4171652793884277,0.7707796244045877,0.015764221899637245,0.025956906329220684,2.695492372653545,0.22880050937034732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.20,circle,D4_damper_c1p10,1.0,1.1,0,0.6497346210323898,0.0128613981203391,0.0018578113557361155,3.0504707785753102,0.22797851286436,0.07513425499200821,0.17488698661327362,3.5858824253082275,0.9417600878528787,0.017020876956532927,0.02570653874348634,2.9043205086683983,0.22526567471186604,0.54656343952358,0.54656343952358,0.2996987252800769,0.09877383708953702,0.04896241048769359,0.00860595889389515,0.0032651008877069127,0.01682958447781857,0.004382408742098487,1.3841443061828613,0.5282100135397988,0.5445986437443041,0.4293039991391791
circle_steer_0.20,circle,D5_damper_c1p20,1.0,1.2,0,0.6260761816084874,0.011699088893902417,0.00044396226915593544,2.8787556428175707,0.03582385720571721,0.066162109375,0.15613128244876862,3.560798406600952,0.8792486961792174,0.01622998044751999,0.024610434727793794,2.7932093742989146,0.0781412563661582,0.42989890392143526,0.42989890392143526,0.27691148497142554,0.18691414594650202,0.047815124502275645,0.013702377676963806,0.0030188202898597466,0.027286604046821594,0.005885131691026582,1.3159010410308838,0.3696049966782533,0.3371781862028608,0.20500406453989145
circle_steer_0.30,circle,D0_stock,,,0,0.6007200633429036,0.015988569697723366,0.0021830990958383503,4.1553157820151405,0.33601253042912904,0.1108398512005806,0.17263302206993103,5.052355766296387,1.046808666452467,0.02299060581462979,0.025549146781283404,3.941108801088853,0.32725296163180834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle_steer_0.30,circle,D1_damper_c0p80,1.0,0.8,0,0.4951762092329339,0.01049863319629087,0.004384652820030728,3.377801850438118,0.2507704570935387,0.11251828819513321,0.17706581950187683,5.305578708648682,1.191390075433481,0.022199008741202973,0.02894574250088685,3.277663914372408,0.2571353797017466,1.2698247770880666,1.2698247770880666,0.6930586981317386,0.36114328058023587,0.11186434926191133,0.0859985202550888,0.013188094652795801,0.1085248664021492,0.015968098706761632,2.6144790649414062,0.9943384396994002,0.4961124828527698,0.23184831883790497
circle_steer_0.30,circle,D2_damper_c0p90,1.0,0.9,0,0.5570651439423595,0.013747875301095728,0.0023843269583057216,3.8641317670161905,0.34182025191019344,0.11587522178888321,0.1830490529537201,4.8777313232421875,0.986787548668124,0.021706692901765436,0.02569134129911256,3.6841663291967595,0.3263863967249163,0.4702937439339758,0.4702937439339758,0.2504076091542022,0.11073541641235463,0.04327686756273005,0.0164184607565403,0.004805447433888683,0.021207736805081367,0.004758257010331043,1.7446250915527344,0.6976195277728939,0.7812899984686961,0.6197439314729136
circle_steer_0.30,circle,D3_identity_c1p00,1.0,1.0,0,0.6007200633429036,0.015988569697723366,0.0021830990958383503,4.1553157820151405,0.33601253042912904,0.1108398512005806,0.17263302206993103,5.052355766296387,1.046808666452467,0.02299060581462979,0.025549146781283404,3.941108801088853,0.32725296163180834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
